BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN(Y/N);SEAWEED(Y/N);FERMENTED;SUBSTRATE;ANIMAL;DONOR;CONANDO;UNIQUES;PAIRTAG;SAMPID
BRK25;1;1;1;Soybean + Seaweed;n;y;Unfermented;C2299;Human;C;HumanC;C2299 HumanC;DUP24;s23
BRK26;1;1;1;Soybean + Seaweed;n;y;Unfermented;C2299;Human;A;HumanA;C2299 HumanA;DUP25;s19
BRK27;1;1;1;Soybean + Seaweed;n;y;Unfermented;C2299;Human;C;HumanC;C2299 HumanC;DUP24;s24
BRK28;1;1;1;Rapeseed + Seaweed;n;y;Unfermented;C1199;Human;C;HumanC;C1199 HumanC;DUP26;s12
BRK29;1;1;1;Soybean;n;n;Unfermented;C200;Human;C;HumanC;C200 HumanC;DUP27;s18
BRK30;1;1;1;Rapeseed;n;n;Unfermented;C100;Human;C;HumanC;C100 HumanC;DUP28;s6
BRK31;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL2 EP1199;Human;B;HumanB;XYL2 EP1199 HumanB;DUP29;s99
BRK32;1;1;1;Xylan;y;n;Unfermented;XYL2;Human;A;HumanA;XYL2 HumanA;DUP30;s56
BRK33;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL2 EP1199;Human;B;HumanB;XYL2 EP1199 HumanB;DUP29;s100
BRK34;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYL2 EP100;Human;B;HumanB;XYL2 EP100 HumanB;DUP31;s93
BRK35;1;1;1;Xylan;y;n;Unfermented;XYL2;Human;B;HumanB;XYL2 HumanB;DUP1;s58
BRK36;1;1;1;Xylan;y;n;Unfermented;XYL1;Human;C;HumanC;XYL1 HumanC;DUP32;s53
BRK37;1;1;1;Xylan;y;n;Unfermented;XYL1;Human;C;HumanC;XYL1 HumanC;DUP32;s54
BRK38;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYL1 EP100;Human;C;HumanC;XYL1 EP100 HumanC;DUP33;s71
BRK39;1;1;1;Xylan + Soybean;y;n;Fermented;XYL1 EP200;Human;C;HumanC;XYL1 EP200 HumanC;DUP34;s84
BRK40;1;1;1;Xylan + Rapeseed + Seaweed;y;y;Fermented;XYL1 EP1199;Human;A;HumanA;XYL1 EP1199 HumanA;DUP35;s74
BRK41;1;1;1;Xylan + Soybean + Seaweed;y;y;Fermented;XYL1 EP2299;Human;A;HumanA;XYL1 EP2299 HumanA;DUP5;s86
BRK42;1;1;1;Xylan + Rapeseed;y;n;Fermented;XYL1 EP100;Human;B;HumanB;XYL1 EP100 HumanB;DUP36;s68
