#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK62	BRK65	BRK66	BRK67	BRK69	BRK70	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88
OTU_49	0	0	0	0	0	0	0	0	0	5	1	8	9	3	1	57	2	0	1	6	2	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	8	0	4	22	1	5	51	0	7	14	1	21	0	31	1	2	9	2	0	2	25	7	6	2	1	1	1	0
OTU_50	10	46	121	1	10	37	3	66	16	46	0	7	24	2	202	39	84	3	36	79	78	5	21	164	35	31	15	0	11	31	8	32	63	16	13	2	5	9	6	79	4	1	5	5	32	2	4	0	5	17	48	9	0	9	32	58	29	67	146	11	17	50	16	39	3	9	1	0
OTU_51	123	2148	2063	118	1560	188	259	130	404	161	11	169	230	166	187	961	189	91	166	184	160	105	896	172	109	6	101	9	1139	68	122	71	866	858	2166	11	12	52	36	1078	697	4	417	575	186	89	742	167	980	109	3772	33	0	622	902	531	1545	359	488	170	1252	384	877	338	13	160	63	63
OTU_52	1	9	16	4	1	3	41	8	14	14	5	372	0	28	4	5	2	0	120	1	14	15	5	0	3	2	4	3	0	2	0	2	6	2	3	0	1	0	6	7	21	0	2	0	0	1	1	1	0	0	1	1	0	14	2	16	22	0	1	2	3	36	48	1	0	0	0	0
OTU_53	0	3	13	6	85	43	51	5	41	0	0	47	11	66	10	10	3	1	81	17	0	13	38	2	82	68	0	6	0	18	20	17	0	38	1	0	4	27	0	1	4	0	34	4	1	0	2	0	2	1	0	4	0	9	3	0	7	3	6	7	25	4	9	0	0	8	0	0
OTU_54	12	174	132	28	74	2	8	4	49	4	2	44	36	32	22	88	2	5	26	16	15	31	78	20	8	8	26	3	233	7	25	4	39	100	161	4	0	4	2	39	58	0	53	34	38	5	51	27	121	17	671	8	0	64	195	40	117	16	22	30	96	19	87	16	0	52	1	1
OTU_55	1	0	0	0	14	52	0	0	0	0	0	0	0	0	0	4	0	0	5	4	0	0	5	1	8	20	0	0	0	1	14	4	0	19	0	0	1	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_56	0	38	25	0	24	8	0	12	11	3	0	2	1	3	8	22	0	0	2	3	4	1	3	1	7	0	1	0	1	1	2	1	16	3	7	0	0	0	0	25	4	0	3	0	6	1	12	0	4	1	52	0	0	2	24	2	8	10	21	4	12	8	4	2	0	2	0	0
OTU_57	42	26	31	6	8	17	3	46	59	60	12	70	3	8	37	13	64	4	19	26	113	90	53	27	20	9	53	97	12	19	6	29	38	20	32	2	6	4	105	43	63	0	6	22	18	85	2	2	1	40	21	47	0	19	16	47	22	14	9	12	16	51	51	47	10	1	1	1
OTU_58	47	3	27	32	18	2	21	26	29	12	7	43	6	38	17	11	4	4	22	13	15	47	151	9	3	36	7	45	5	11	15	27	7	36	25	2	5	25	41	11	21	0	4	48	4	12	3	1	1	5	6	25	0	23	8	16	8	4	3	3	39	12	159	5	2	5	5	1
OTU_59	17	321	585	140	429	112	2	54	96	62	17	26	14	96	24	178	19	0	79	9	47	9	209	34	22	100	8	3	438	25	50	96	128	64	423	6	5	14	15	219	426	1	89	380	25	13	409	30	240	25	487	23	0	132	1166	89	262	47	163	112	289	20	172	37	3	206	50	41
OTU_60	7	59	15	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	7	0	10	8	38	4	1	0	2	4	13	2	4	6	29	28	40	0	1	8	4	20	17	0	5	9	5	3	22	2	22	5	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_61	25	7	10	6	27	7	16	17	16	12	4	21	4	4	19	44	7	2	16	11	11	0	1	0	0	0	2	2	0	0	1	1	2	1	0	0	0	0	3	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
OTU_62	0	0	0	0	6	5	3	1	9	0	0	0	1	24	0	0	0	0	6	0	0	7	35	1	3	1	0	5	0	0	12	0	0	13	0	0	4	1	0	1	1	0	14	46	0	0	5	0	2	1	0	66	0	45	3	0	10	4	2	18	5	0	8	0	0	9	0	0
OTU_63	178	16	29	8	6	9	1	66	24	48	1	38	4	4	44	3	32	7	15	9	54	48	21	13	7	18	39	49	4	80	1	5	55	13	21	0	6	2	111	31	18	1	5	16	6	76	13	2	3	42	8	7	0	24	14	28	11	13	4	1	18	33	25	83	7	2	0	0
