OTU_ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK89	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_3962	3	2	1	5	5	1	4	3	560	446	506	926	926	456	322	350	1	2	2	2	0	1	1	1	1	3	4	4	2	2	1	3	5	3	0	4	0	1	2	6	3	5	4	2	1	3	1	5	2	5	0	2	3	2	2	2	0	2	1	2	1	1	1	2	2	8	1	1	3	2	1	4	0	1	0	0	0	0	1	1	2	0	1	0	0	0	1	3	1	0	0	0	0	0	2
OTU_3963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	4	4	6	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	1	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3964	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	2	0	3	1	1	0	0	0	0	0	0	1	0	1	4	1	5	1	0	4	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	6	4	6	1	8	7	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3965	2	2	6	3	3	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3966	0	5	1	2	2	4	6	3	0	0	1	0	0	0	0	0	3	1	1	1	4	2	5	1	1	0	0	0	0	0	0	1	1	11	0	14	5	14	11	13	5	2	3	3	0	1	2	2	1	4	2	2	1	2	1	1	0	0	1	0	0	1	0	1	0	1	0	1	2	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3967	3	4	3	1	2	6	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	3	5	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
OTU_3968	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3969	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	3	2	0	0	1	1	0	0	5	2	6	5	12	6	7	2	1	1	0	2	0	0	1	1	5	11	10	9	6	4	1	9	0	1	1	0	0	2	0	1	2	0	5	2	0	1	1	4	2	2	2	2	3	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3970	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	1	2	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	17	15	21	7	28	19	17	1	3	2	4	3	3	3	2	2	1	2	1	6	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_3971	0	4	1	3	0	1	1	1	0	4	3	0	0	1	1	1	2	0	1	2	1	0	2	1	0	0	0	0	0	1	0	0	0	2	0	2	1	4	4	1	1	1	0	1	3	2	1	3	0	1	0	2	0	1	2	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
